"game_name","time","home_team","away_team","home_half_score","away_half_score","home_final_score","away_final_score","start_handicap_odd","start_goals_odd"
"墨女超","19/11/12 09:00","托卢卡女子","拉古纳桑托斯 女子","0 "," 0","2 "," 0","-1.0 "," 2.75 "
"墨女超","19/11/12 09:01","帕丘卡 女子","瓜达拉哈拉 女子","0 "," 0","1 "," 2","-0.25 "," 3.0 "
"墨女超","19/11/12 11:01","蒙特雷 女子","国立自治大学俱乐部..","1 "," 0","2 "," 1","-2.25 "," 3.5 "
"印班超","19/11/12 16:08","班加罗尔 Independe..","Income Tax SC","2 "," 0","3 "," 0","-0.5 "," 3.0 "
"印尼超","19/11/12 16:29","万隆","阿雷马","3 "," 0","3 "," 0","-0.5 "," 2.5 "
"印度区杯","19/11/12 16:36","锡金喜马拉雅SC","莫哈末丹","0 "," 1","1 "," 2","+0.25 "," 2.5 "
"国际女子","19/11/12 17:02","澳大利亚 女子","智利 女子","1 "," 0","1 "," 0","-1.75 "," 3.25 "
"印SPL","19/11/12 17:06","西隆拉庄 FC","Ryntih SC","2 "," 0","4 "," 0","-0.75 "," 2.75 "
"印班超","19/11/12 18:11","Ozone FC","ADE FC","0 "," 0","2 "," 0","-0.75 "," 3.0 "
"欧洲友谊","19/11/12 19:05","安特卫普 后备队","多德勒支 后备队","1 "," 1","3 "," 1","-1.25 "," 3.5 "
"伊朗甲","19/11/12 19:32","Melli Hafari","克尔曼沙赫比萨特","1 "," 1","2 "," 1","-0.25 "," 2.0 "
"沙特甲","19/11/12 20:05","斯霍拉","阿尔泰","3 "," 0","5 "," 0","-0.25 "," 2.5 "
"塞尔U19","19/11/12 20:11","TSC巴奇卡托波拉 19..","FK Brodarac 19岁以下","0 "," 2","2 "," 3","+2.25 "," 3.75 "
"沙特甲","19/11/12 20:21","布凯里耶","阿尔科巴尔","1 "," 0","2 "," 0","0.0 "," 2.5 "
"埃及乙","19/11/12 20:29","阿布卡尔瑟梅德","Biyala SC","1 "," 0","1 "," 1","-0.5 "," 2.25 "
"埃及乙","19/11/12 20:30","Pharco FC","哈曼亚历山大","2 "," 1","4 "," 2","-0.25 "," 2.0 "
"埃及乙","19/11/12 20:31","艾尔扎亚特","阿拉布达曼豪尔","0 "," 0","1 "," 1","0.0 "," 2.0 "
"埃及乙","19/11/12 20:33","曼苏拉","巴拉蒂耶","0 "," 1","1 "," 1","-0.25 "," 2.0 "
"埃及乙","19/11/12 20:33","Dekernes","曼哈拉","0 "," 0","2 "," 0","0.0 "," 2.25 "
"阿后备","19/11/12 20:37","阿雷纳斯胜利 后备队","鲁祖尼后备队","1 "," 0","1 "," 0","-0.75 "," 2.75 "
"乌干达超","19/11/12 20:59","姆巴拉拉城","Onduparaka FC","1 "," 0","2 "," 1","0.0 "," 2.25 "
"欧锦女资","19/11/12 21:01","希腊 女子","爱尔兰 女子","0 "," 1","1 "," 1","+0.5 "," 2.5 "
"英高杯","19/11/12 21:01","伯恩利 特选队","菲尔德 特选队","1 "," 0","3 "," 1","-1.0 "," 3.0 "
"欧锦女资","19/11/12 21:16","意大利 女子","马耳他 女子","4 "," 0","5 "," 0","-5.25 "," 5.75 "
"乌干达超","19/11/12 21:28","布索加联队","马龙","0 "," 0","1 "," 1","-0.25 "," 2.25 "
"乌干达超","19/11/12 21:28","凯土穆FC","瓦基索巨人","0 "," 1","0 "," 3","+0.25 "," 2.0 "
"乌干达超","19/11/12 21:29","普罗兰","Bright Stars","1 "," 1","2 "," 1","0.0 "," 2.0 "
"乌干达超","19/11/12 21:33","韦珀斯SC","URA","0 "," 0","1 "," 0","-0.75 "," 2.0 "
"国际女子","19/11/12 21:47","阿根廷 女子","哥伦比亚 女子","0 "," 1","2 "," 2","-0.5 "," 2.25 "
"苏后备","19/11/12 21:59","邓迪联 后备队","圣米伦 后备队","2 "," 1","2 "," 3","-1.75 "," 4.25 "
"苏后备","19/11/12 21:59","慕顿 后备队","罗斯郡 后备队","0 "," 2","1 "," 4","+0.75 "," 3.5 "
"苏后备","19/11/12 22:01","汉密尔顿 后备队","哈茨 后备队","2 "," 1","3 "," 2","-1.0 "," 3.75 "
"荷后备","19/11/12 22:01","格罗宁根 后备队","费耶诺德 后备队","1 "," 0","3 "," 3","-1.5 "," 3.25 "
"女奥资格","19/11/12 22:32","喀麦隆 女子","科特迪瓦 女子","1 "," 0","2 "," 1","-0.75 "," 2.0 "
"巴林杯","19/11/12 22:56","穆哈拉格","阿赫利 马纳马","1 "," 0","1 "," 0","0.0 "," 3.0 "
"巴林杯","19/11/12 22:56","麦纳麦沙巴布","伊蒂法克(巴林)","1 "," 0","2 "," 3","-2.5 "," 3.75 "
"巴林杯","19/11/12 22:57","麦纳麦","马勒基亚","2 "," 0","2 "," 0","-1.0 "," 3.0 "
"巴林杯","19/11/12 22:58","东里发","卡拉利","1 "," 0","7 "," 0","-1.5 "," 3.25 "
"非杯U23","19/11/12 23:00","科特迪瓦 23岁以下","南非 23岁以下","0 "," 0","0 "," 1","-0.25 "," 2.0 "
